customername,email,phone,birthday,serialnumber,registrationdate,lastupdatedate,sharewithresearchasofdate,sharewithpublicasofdate
Eric Harris,Eric.Harris@test.com,8015551212,1877-01-01,74db2795-a19f-48c6-bc20-a8660525dad3,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Manoj Wu,Manoj.Wu@test.com,8015551212,1876-01-01,54b577cf-bb80-4019-9e1c-5f9c53c4745f,1.65529E+12,1.65529E+12,1.65529E+12,
Larry Jones,Larry.Jones@test.com,8015551212,1873-01-01,74db2795-a19f-48c6-bc20-a8660525dad3,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Liz Davis,Liz.Davis@test.com,8015551212,1872-01-01,4ad3c0da-38a9-48f9-9d99-766a717a774c,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Travis Anderson,Travis.Anderson@test.com,8015551212,1870-01-01,4215444e-7472-4c4c-af8a-0cbd79f56477,1.65529E+12,1.65529E+12,1.65529E+12,
Jaya Spencer,Jaya.Spencer@test.com,8015551212,1864-01-01,2e34a651-5e26-4280-b30b-9f2066496a89,1.65529E+12,1.65529E+12,1.65529E+12,
Manoj Staples,Manoj.Staples@test.com,8015551212,1863-01-01,bdfc0926-a6cb-4567-8798-fd003dd5fadf,1.65529E+12,1.65529E+12,1.65529E+12,
Suresh Clark,Suresh.Clark@test.com,8015551212,1861-01-01,9c0b4b10-9fb4-4a5c-9f69-7a6c796f1256,1.65529E+12,1.65529E+12,1.65529E+12,
Danny Jones,Danny.Jones@test.com,8015551212,1859-01-01,54b577cf-bb80-4019-9e1c-5f9c53c4745f,1.65529E+12,1.65529E+12,1.65529E+12,
Travis Anderson,Travis.Anderson@test.com,8015551212,1853-01-01,bdfc0926-a6cb-4567-8798-fd003dd5fadf,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Santosh Wu,Santosh.Wu@test.com,8015551212,1852-01-01,773b5821-b992-4307-b738-d511b9e0a406,1.65529E+12,1.65529E+12,1.65529E+12,
Ashley Abram,Ashley.Abram@test.com,8015551212,1851-01-01,159a908a-371e-40c1-ba92-dcdea483a6a2,1.65529E+12,1.65529E+12,1.65529E+12,
Gail Ahmed,Gail.Ahmed@test.com,8015551212,1850-01-01,159a908a-371e-40c1-ba92-dcdea483a6a2,1.65529E+12,1.65529E+12,1.65529E+12,
Craig Spencer,Craig.Spencer@test.com,8015551212,1849-01-01,5dd97793-c30e-4b8c-b73f-e4132914495f,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Spencer Anderson,Spencer.Anderson@test.com,8015551212,1847-01-01,4ad3c0da-38a9-48f9-9d99-766a717a774c,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Christina Jones,Christina.Jones@test.com,8015551212,1843-01-01,2bc01cbe-2ea2-4603-b91a-5989b915d392,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Christina Wu,Christina.Wu@test.com,8015551212,1838-01-01,11b7090f-e244-448b-9807-f74f2762bb6d,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Ashley Doshi,Ashley.Doshi@test.com,8015551212,1837-01-01,a9c6b46b-01d8-4f86-a8ed-b1bde922932e,1.65529E+12,1.65529E+12,1.65529E+12,
Bobby Olson,Bobby.Olson@test.com,8015551212,1836-01-01,ece6edf8-a14c-4489-a41c-98fe1b72b059,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Eric Mitra,Eric.Mitra@test.com,8015551212,1833-01-01,bbff8516-ac15-4c1e-8215-df921995e043,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Neeraj Gonzalez,Neeraj.Gonzalez@test.com,8015551212,1831-01-01,4ad3c0da-38a9-48f9-9d99-766a717a774c,1.65529E+12,1.65529E+12,1.65529E+12,
Christina Habschied,Christina.Habschied@test.com,8015551212,1827-01-01,9c0b4b10-9fb4-4a5c-9f69-7a6c796f1256,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Liz Olson,Liz.Olson@test.com,8015551212,1826-01-01,41e55307-c7c3-4a9a-a607-61a8c1038456,1.65529E+12,1.65529E+12,1.65529E+12,
Eric Lincoln,Eric.Lincoln@test.com,8015551212,1825-01-01,938516ed-1680-49f5-993a-6187bf0a1eab,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Bobby Jefferson,Bobby.Jefferson@test.com,8015551212,1824-01-01,74db2795-a19f-48c6-bc20-a8660525dad3,1.65529E+12,1.65529E+12,1.65529E+12,
Craig Harris,Craig.Harris@test.com,8015551212,1821-01-01,9c0b4b10-9fb4-4a5c-9f69-7a6c796f1256,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Danny Gonzalez,Danny.Gonzalez@test.com,8015551212,1820-01-01,5d9bf1f7-0492-4bac-842b-3ed958fa5ba1,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Neeraj Ahmed,Neeraj.Ahmed@test.com,8015551212,1819-01-01,159a908a-371e-40c1-ba92-dcdea483a6a2,1.65529E+12,1.65529E+12,1.65529E+12,
David Spencer,David.Spencer@test.com,8015551212,1815-01-01,54b577cf-bb80-4019-9e1c-5f9c53c4745f,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Dan Jackson,Dan.Jackson@test.com,8015551212,1814-01-01,41e55307-c7c3-4a9a-a607-61a8c1038456,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Frank Jones,Frank.Jones@test.com,8015551212,1813-01-01,54b577cf-bb80-4019-9e1c-5f9c53c4745f,1.65529E+12,1.65529E+12,1.65529E+12,
Jerry Clayton,Jerry.Clayton@test.com,8015551212,1812-01-01,ece6edf8-a14c-4489-a41c-98fe1b72b059,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Frank Aristotle,Frank.Aristotle@test.com,8015551212,1809-01-01,4ad3c0da-38a9-48f9-9d99-766a717a774c,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Jerry Staples,Jerry.Staples@test.com,8015551212,1806-01-01,74db2795-a19f-48c6-bc20-a8660525dad3,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Jaya Doshi,Jaya.Doshi@test.com,8015551212,1805-01-01,f3161efa-b3ab-49db-8561-f23e1ffc791f,1.65529E+12,1.65529E+12,1.65529E+12,
Sarah Howard,Sarah.Howard@test.com,8015551212,1800-01-01,51fe4a0b-84bf-4fd8-ac10-638481219601,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Neeraj Smith,Neeraj.Smith@test.com,8015551212,1798-01-01,b8a9332d-39f7-4994-a299-d60a747d288b,1.65529E+12,1.65529E+12,1.65529E+12,
John Anderson,John.Anderson@test.com,8015551212,1793-01-01,5fe9200a-fd9b-4c09-9037-9ed5d14d6f6a,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Lyn Doshi,Lyn.Doshi@test.com,8015551212,1792-01-01,51fe4a0b-84bf-4fd8-ac10-638481219601,1.65529E+12,1.65529E+12,1.65529E+12,
Neeraj Khatib,Neeraj.Khatib@test.com,8015551212,1791-01-01,2bc01cbe-2ea2-4603-b91a-5989b915d392,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Edward Clark,Edward.Clark@test.com,8015551212,1789-01-01,f831cb34-4ef3-42cf-9ee7-a0240b515f33,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Santosh Davis,Santosh.Davis@test.com,8015551212,1788-01-01,54b577cf-bb80-4019-9e1c-5f9c53c4745f,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Suresh Anandh,Suresh.Anandh@test.com,8015551212,1787-01-01,3fe69104-657e-45a1-bd6e-fece3e42de85,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Gail Clayton,Gail.Clayton@test.com,8015551212,1786-01-01,2bc01cbe-2ea2-4603-b91a-5989b915d392,1.65529E+12,1.65529E+12,1.65529E+12,
Suresh Anandh,Suresh.Anandh@test.com,8015551212,1785-01-01,a6cd85aa-09fa-4e9c-b28d-38881f6efc3c,1.65529E+12,1.65529E+12,1.65529E+12,
Edward Howard,Edward.Howard@test.com,8015551212,1784-01-01,51fe4a0b-84bf-4fd8-ac10-638481219601,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Jason Smith,Jason.Smith@test.com,8015551212,1783-01-01,41e55307-c7c3-4a9a-a607-61a8c1038456,1.65529E+12,1.65529E+12,1.65529E+12,
Bobby Harris,Bobby.Harris@test.com,8015551212,1779-01-01,51fe4a0b-84bf-4fd8-ac10-638481219601,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Jane Aristotle,Jane.Aristotle@test.com,8015551212,1777-01-01,54b577cf-bb80-4019-9e1c-5f9c53c4745f,1.65529E+12,1.65529E+12,1.65529E+12,
Bobby Sanchez,Bobby.Sanchez@test.com,8015551212,1776-01-01,5fe9200a-fd9b-4c09-9037-9ed5d14d6f6a,1.65529E+12,1.65529E+12,1.65529E+12,
Senthil Huey,Senthil.Huey@test.com,8015551212,1775-01-01,4ad3c0da-38a9-48f9-9d99-766a717a774c,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Jane Doshi,Jane.Doshi@test.com,8015551212,1774-01-01,773b5821-b992-4307-b738-d511b9e0a406,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Jason Anderson,Jason.Anderson@test.com,8015551212,1771-01-01,a6cd85aa-09fa-4e9c-b28d-38881f6efc3c,1.65529E+12,1.65529E+12,1.65529E+12,
Trevor Gonzalez,Trevor.Gonzalez@test.com,8015551212,1770-01-01,a9c6b46b-01d8-4f86-a8ed-b1bde922932e,1.65529E+12,1.65529E+12,1.65529E+12,
Danny Olson,Danny.Olson@test.com,8015551212,1769-01-01,51fe4a0b-84bf-4fd8-ac10-638481219601,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Lyn Clark,Lyn.Clark@test.com,8015551212,1768-01-01,54b577cf-bb80-4019-9e1c-5f9c53c4745f,1.65529E+12,1.65529E+12,1.65529E+12,
Santosh Olson,Santosh.Olson@test.com,8015551212,1765-01-01,5dd97793-c30e-4b8c-b73f-e4132914495f,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Eric Habschied,Eric.Habschied@test.com,8015551212,1764-01-01,74db2795-a19f-48c6-bc20-a8660525dad3,1.65529E+12,1.65529E+12,1.65529E+12,
Senthil Anandh,Senthil.Anandh@test.com,8015551212,1756-01-01,f831cb34-4ef3-42cf-9ee7-a0240b515f33,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
John Howard,John.Howard@test.com,8015551212,1755-01-01,51fe4a0b-84bf-4fd8-ac10-638481219601,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Christina Smith,Christina.Smith@test.com,8015551212,1753-01-01,41e55307-c7c3-4a9a-a607-61a8c1038456,1.65529E+12,1.65529E+12,1.65529E+12,
Senthil Jones,Senthil.Jones@test.com,8015551212,1752-01-01,74db2795-a19f-48c6-bc20-a8660525dad3,1.65529E+12,1.65529E+12,1.65529E+12,
Senthil Clayton,Senthil.Clayton@test.com,8015551212,1748-01-01,51fe4a0b-84bf-4fd8-ac10-638481219601,1.65529E+12,1.65529E+12,1.65529E+12,
Larry Staples,Larry.Staples@test.com,8015551212,1747-01-01,94867fb9-570d-4031-b319-8a9d3b8c1c20,1.65529E+12,1.65529E+12,1.65529E+12,
Gail Olson,Gail.Olson@test.com,8015551212,1745-01-01,51fe4a0b-84bf-4fd8-ac10-638481219601,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Ashley Aristotle,Ashley.Aristotle@test.com,8015551212,1744-01-01,5dd97793-c30e-4b8c-b73f-e4132914495f,1.65529E+12,1.65529E+12,1.65529E+12,
Jane Harris,Jane.Harris@test.com,8015551212,1740-01-01,11b7090f-e244-448b-9807-f74f2762bb6d,1.65529E+12,1.65529E+12,1.65529E+12,
Neeraj Jefferson,Neeraj.Jefferson@test.com,8015551212,1734-01-01,5dd97793-c30e-4b8c-b73f-e4132914495f,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Sarah Gonzalez,Sarah.Gonzalez@test.com,8015551212,1732-01-01,5fe9200a-fd9b-4c09-9037-9ed5d14d6f6a,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Neeraj Aristotle,Neeraj.Aristotle@test.com,8015551212,1730-01-01,773b5821-b992-4307-b738-d511b9e0a406,1.65529E+12,1.65529E+12,1.65529E+12,
Spencer Doshi,Spencer.Doshi@test.com,8015551212,1727-01-01,159a908a-371e-40c1-ba92-dcdea483a6a2,1.65529E+12,1.65529E+12,1.65529E+12,
Larry Anderson,Larry.Anderson@test.com,8015551212,1726-01-01,bbff8516-ac15-4c1e-8215-df921995e043,1.65529E+12,1.65529E+12,1.65529E+12,
Jaya Wu,Jaya.Wu@test.com,8015551212,1724-01-01,2e34a651-5e26-4280-b30b-9f2066496a89,1.65529E+12,1.65529E+12,1.65529E+12,
Travis Gonzalez,Travis.Gonzalez@test.com,8015551212,1723-01-01,51fe4a0b-84bf-4fd8-ac10-638481219601,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Bobby Harris,Bobby.Harris@test.com,8015551212,1722-01-01,5dd97793-c30e-4b8c-b73f-e4132914495f,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Craig Anderson,Craig.Anderson@test.com,8015551212,1717-01-01,f831cb34-4ef3-42cf-9ee7-a0240b515f33,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Jane Jefferson,Jane.Jefferson@test.com,8015551212,1716-01-01,2e34a651-5e26-4280-b30b-9f2066496a89,1.65529E+12,1.65529E+12,1.65529E+12,
Jacob Lincoln,Jacob.Lincoln@test.com,8015551212,1715-01-01,f3161efa-b3ab-49db-8561-f23e1ffc791f,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Sarah Mitra,Sarah.Mitra@test.com,8015551212,1714-01-01,fc868710-172e-408b-895d-ba0a5406e4da,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Jane Olson,Jane.Olson@test.com,8015551212,1713-01-01,9c0b4b10-9fb4-4a5c-9f69-7a6c796f1256,1.65529E+12,1.65529E+12,1.65529E+12,
Gail Lincoln,Gail.Lincoln@test.com,8015551212,1709-01-01,11b7090f-e244-448b-9807-f74f2762bb6d,1.65529E+12,1.65529E+12,1.65529E+12,
Sarah Mitra,Sarah.Mitra@test.com,8015551212,1707-01-01,51fe4a0b-84bf-4fd8-ac10-638481219601,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Larry Spencer,Larry.Spencer@test.com,8015551212,1706-01-01,2e34a651-5e26-4280-b30b-9f2066496a89,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Jacob Hansen,Jacob.Hansen@test.com,8015551212,1705-01-01,f3161efa-b3ab-49db-8561-f23e1ffc791f,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Frank Anderson,Frank.Anderson@test.com,8015551212,1704-01-01,41e55307-c7c3-4a9a-a607-61a8c1038456,1.65529E+12,1.65529E+12,1.65529E+12,
John Aristotle,John.Aristotle@test.com,8015551212,1702-01-01,a9c6b46b-01d8-4f86-a8ed-b1bde922932e,1.65529E+12,1.65529E+12,1.65529E+12,
Ashley Jones,Ashley.Jones@test.com,8015551212,1698-01-01,2bc01cbe-2ea2-4603-b91a-5989b915d392,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Jerry Doshi,Jerry.Doshi@test.com,8015551212,1696-01-01,5dd97793-c30e-4b8c-b73f-e4132914495f,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Spencer Jones,Spencer.Jones@test.com,8015551212,1695-01-01,b2892f78-f4bb-49ec-87fc-09d0f443596e,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Frank Abram,Frank.Abram@test.com,8015551212,1692-01-01,bbff8516-ac15-4c1e-8215-df921995e043,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Jaya Harris,Jaya.Harris@test.com,8015551212,1688-01-01,bdfc0926-a6cb-4567-8798-fd003dd5fadf,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Angie Davis,Angie.Davis@test.com,8015551212,1687-01-01,f3161efa-b3ab-49db-8561-f23e1ffc791f,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Edward Phillips,Edward.Phillips@test.com,8015551212,1682-01-01,ece6edf8-a14c-4489-a41c-98fe1b72b059,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Suresh Harris,Suresh.Harris@test.com,8015551212,1681-01-01,5dd97793-c30e-4b8c-b73f-e4132914495f,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
David Lincoln,David.Lincoln@test.com,8015551212,1680-01-01,2e34a651-5e26-4280-b30b-9f2066496a89,1.65529E+12,1.65529E+12,1.65529E+12,
John Lincoln,John.Lincoln@test.com,8015551212,1679-01-01,f831cb34-4ef3-42cf-9ee7-a0240b515f33,1.65529E+12,1.65529E+12,1.65529E+12,
Sean Harris,Sean.Harris@test.com,8015551212,1673-01-01,773b5821-b992-4307-b738-d511b9e0a406,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Jaya Hansen,Jaya.Hansen@test.com,8015551212,1668-01-01,159a908a-371e-40c1-ba92-dcdea483a6a2,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Santosh Aristotle,Santosh.Aristotle@test.com,8015551212,1666-01-01,2bc01cbe-2ea2-4603-b91a-5989b915d392,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Bobby Clark,Bobby.Clark@test.com,8015551212,1665-01-01,54b577cf-bb80-4019-9e1c-5f9c53c4745f,1.65529E+12,1.65529E+12,1.65529E+12,
Sarah Smith,Sarah.Smith@test.com,8015551212,1664-01-01,74db2795-a19f-48c6-bc20-a8660525dad3,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Ben Clark,Ben.Clark@test.com,8015551212,1663-01-01,11b7090f-e244-448b-9807-f74f2762bb6d,1.65529E+12,1.65529E+12,1.65529E+12,
Gail Jackson,Gail.Jackson@test.com,8015551212,1662-01-01,fc868710-172e-408b-895d-ba0a5406e4da,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Bobby Staples,Bobby.Staples@test.com,8015551212,1660-01-01,938516ed-1680-49f5-993a-6187bf0a1eab,1.65529E+12,1.65529E+12,1.65529E+12,
Jerry Staples,Jerry.Staples@test.com,8015551212,1655-01-01,773b5821-b992-4307-b738-d511b9e0a406,1.65529E+12,1.65529E+12,1.65529E+12,
Jason Hansen,Jason.Hansen@test.com,8015551212,1654-01-01,bbff8516-ac15-4c1e-8215-df921995e043,1.65529E+12,1.65529E+12,1.65529E+12,
Christina Hansen,Christina.Hansen@test.com,8015551212,1651-01-01,41e55307-c7c3-4a9a-a607-61a8c1038456,1.65529E+12,1.65529E+12,1.65529E+12,
Sarah Jones,Sarah.Jones@test.com,8015551212,1650-01-01,94867fb9-570d-4031-b319-8a9d3b8c1c20,1.65529E+12,1.65529E+12,1.65529E+12,
Liz Habschied,Liz.Habschied@test.com,8015551212,1649-01-01,773b5821-b992-4307-b738-d511b9e0a406,1.65529E+12,1.65529E+12,1.65529E+12,
